name,url,desc
Freesound,https://freesound.org/,Um site que oferece uma vasta coleção de sons gratuitos.
Sampleswap,https://sampleswap.org/,Um site que oferece amostras de áudio gratuitas.
Fiftysounds,https://www.fiftysounds.com/,Um site que oferece 50 sons básicos do japonês.
V3rmillion,https://v3rmillion.net/,Um fórum dedicado a exploração de jogos.
Wearedevs,https://wearedevs.net/,Um site que oferece ferramentas para desenvolvedores de jogos.
Worldometers,https://www.worldometers.info/br/,Um site que oferece estatísticas mundiais em tempo real.
Picpaw,https://www.picpaw.com/,Um site que oferece imagens gratuitas de alta qualidade.
Yandex,https://translate.yandex.com/en/ocr,Um site que oferece um serviço de tradução de texto em imagens.
Artguru,https://www.artguru.ai/pt/,Um site que oferece um serviço de reconhecimento de arte.
Workintool,https://www.workintool.com/pt/,Um site que oferece ferramentas para o trabalho remoto.
Google Books,https://books.google.com.br/, Um serviço do Google que procura textos completos de livros e revistas que o Google digitalizou.
Project Gutenberg,https://www.gutenberg.org/,Um site que oferece mais de 60.000 livros eletrônicos gratuitos.
Cultura Acadêmica,https://www.culturaacademica.com.br/,Uma editora que oferece livros acadêmicos gratuitos.
Openlibrary,https://openlibrary.org/,Um site que oferece um catálogo de livros acessível ao público.
Biblioteca Digital de Obras Raras,https://obrasraras.usp.br/,Um site que oferece acesso a obras raras digitalizadas.
Biblioteca Brasiliana,https://www.brasiliana.usp.br/,Uma biblioteca que oferece acesso a obras sobre o Brasil.
Book Translator,https://www.booktranslator.app/pt-BR/translate,Um site que oferece um serviço de tradução de livros.
Emugames,https://www.emugames.net/,Um site que oferece jogos de emulador para download.
Speedtest,https://www.speedtest.net/,Um site que oferece um serviço de teste de velocidade de internet.
Smodin,https://smodin.io/,Um site que oferece um serviço de reescrita de texto.
Quillbot,https://quillbot.com/,Um site que oferece um serviço de paráfrase de texto.
Similarweb,https://www.similarweb.com/,Um site que oferece análises de tráfego de sites.
PC Builds,https://pc-builds.com/pt/,Um site que oferece recomendações de construção de PC.
Raymarching Engine,https://raymarching-engine.netlify.app/, Um site que oferece um motor de renderização de gráficos.
Steam Friends,https://steamfriends.info/,Um site que oferece um serviço de busca de amigos no Steam.
Aniwave,https://aniwave.to/,Um site que oferece streaming de animes.
Cgbookcase,https://www.cgbookcase.com/,Um site que oferece texturas gratuitas para artistas 3D.
OpenGameArt,https://opengameart.org/,Um site que oferece arte de jogos gratuitos.
